PassengerID,Customer_History_ID,Ticket_Booking_Date,Flight_Date,Days_Before_Travel,Traveler_Type,Membership_Status,Origin,Destination,Travel_Class,Peak_Season,Base_Ticket_Price,WiFi_Purchased,WiFi_Price,Lounge_Access_Purchased,Lounge_Price,Meals_Purchased,Meals_Price,Insurance_Purchased,Insurance_Price,Priority_Boarding_Purchased,Priority_Boarding_Price,Carbon_Offset_Purchased,Carbon_Offset_Price,Total_Ancillary_Cost,Final_Ticket_Price
P0001,CH0001,2014-11-07,2014-12-09,32,Business,No Status,Berlin,Amsterdam,Business,Yes,407,Yes,10,Yes,25,Yes,15,Yes,15,Yes,5,No,0,70,477
P0001,CH0001,2020-01-30,2020-04-15,76,Business,No Status,London,Berlin,Business,No,391,No,0,Yes,30,No,0,No,0,Yes,15,Yes,15,60,451
P0001,CH0001,2019-05-17,2019-06-20,34,Business,No Status,Berlin,Amsterdam,Business,Yes,361,No,0,Yes,50,Yes,30,No,0,No,0,No,0,80,441
P0001,CH0001,2017-11-27,2017-12-03,6,Business,No Status,Munich,Vienna,Business,Yes,469,Yes,20,No,0,No,0,No,0,Yes,20,No,0,40,509
P0001,CH0001,2016-05-16,2016-06-12,27,Business,No Status,Frankfurt,Madrid,Business,Yes,571,Yes,10,Yes,30,Yes,20,Yes,25,Yes,10,No,0,95,666
P0001,CH0001,2016-12-16,2017-01-26,41,Business,No Status,London,Paris,Business,No,402,Yes,15,No,0,Yes,30,Yes,25,Yes,20,Yes,5,95,497
P0001,CH0001,2025-08-15,2025-09-18,34,Business,No Status,Rome,London,Business,No,591,No,0,No,0,Yes,20,No,0,Yes,20,Yes,3,43,634
P0001,CH0001,2016-07-27,2016-11-06,102,Business,No Status,Berlin,Amsterdam,Business,No,524,Yes,10,Yes,50,Yes,15,No,0,Yes,15,No,0,90,614
P0001,CH0001,2015-04-23,2015-05-14,21,Business,No Status,Frankfurt,Madrid,Business,No,516,Yes,20,No,0,No,0,No,0,Yes,15,No,0,35,551
P0001,CH0001,2023-02-16,2023-04-05,48,Business,No Status,London,Berlin,Business,No,361,No,0,No,0,Yes,15,No,0,No,0,Yes,10,25,386
P0001,CH0001,2016-09-17,2017-01-08,113,Business,No Status,Vienna,Prague,Business,No,425,No,0,Yes,50,No,0,No,0,No,0,Yes,15,65,490
P0001,CH0001,2016-01-26,2016-05-17,112,Business,No Status,London,Berlin,Business,No,475,Yes,15,No,0,No,0,No,0,No,0,No,0,15,490
P0001,CH0001,2021-08-30,2021-09-15,16,Business,No Status,Frankfurt,Madrid,Business,No,463,Yes,20,Yes,30,Yes,15,Yes,10,Yes,5,No,0,80,543
P0001,CH0001,2022-01-13,2022-04-09,86,Business,No Status,Berlin,Amsterdam,Business,No,474,Yes,15,No,0,No,0,No,0,Yes,20,No,0,35,509
